Station,Date,Sunrise,Sunset,CodeSum,ResultDir,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,AvgSpeed
1,2007-05-01,0448,1849, ,27,75.43333333333334,51.6,63.733333333333334,5.166666666666667,45.266666666666666,54.03333333333333,3.8666666666666667,2.6,0.0,0.059666666666666666,29.36133333333333,30.084999999999997,8.64666666666667,10.363333333333335
2,2007-05-01,-,-, ,25,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.041666666666666664,29.425000000000004,30.079,8.44,9.993333333333334
1,2007-05-02,0447,1850,BR,4,75.43333333333334,51.6,63.733333333333334,5.166666666666667,45.266666666666666,54.03333333333333,3.8666666666666667,2.6,0.0,0.059666666666666666,29.36133333333333,30.084999999999997,8.64666666666667,10.363333333333335
2,2007-05-02,-,-,BR HZ,2,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.041666666666666664,29.425000000000004,30.079,8.44,9.993333333333334
1,2007-05-03,0446,1851, ,7,75.43333333333334,51.6,63.733333333333334,5.166666666666667,45.266666666666666,54.03333333333333,3.8666666666666667,2.6,0.0,0.059666666666666666,29.36133333333333,30.084999999999997,8.64666666666667,10.363333333333335
2,2007-05-03,-,-,HZ,6,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.041666666666666664,29.425000000000004,30.079,8.44,9.993333333333334
1,2007-05-04,0444,1852,RA,8,75.43333333333334,51.6,63.733333333333334,5.166666666666667,45.266666666666666,54.03333333333333,3.8666666666666667,2.6,0.0,0.059666666666666666,29.36133333333333,30.084999999999997,8.64666666666667,10.363333333333335
2,2007-05-04,-,-, ,7,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.041666666666666664,29.425000000000004,30.079,8.44,9.993333333333334
1,2007-05-05,0443,1853, ,7,75.43333333333334,51.6,63.733333333333334,5.166666666666667,45.266666666666666,54.03333333333333,3.8666666666666667,2.6,0.0,0.059666666666666666,29.36133333333333,30.084999999999997,8.64666666666667,10.363333333333335
2,2007-05-05,-,-, ,7,75.86666666666666,53.56666666666667,64.73333333333333,5.166666666666667,45.3,54.4,3.533333333333333,3.2666666666666666,0.0,0.041666666666666664,29.425000000000004,30.079,8.44,9.993333333333334
